sample,signif,r
sample_291,0.8861139,-0.005493239 
sample_292,0.4985015,-0.001448197 
sample_293,0.989011,-0.009837525 
sample_294,0.8951049,-0.01254356 
sample_295,0.8321678,-0.006573055 
sample_296,0.8971029,-0.006316324 
sample_297,0.999001,-0.009231574 
sample_298,0.999001,-0.01377464 
sample_299,0.5674326,-0.001167623 
sample_300,0.985015,-0.00701403 
sample_301,0.999001,-0.01199407 
sample_302,0.993007,-0.007945504 
sample_303,0.996004,-0.01430327 
sample_304,1,-0.01888834 
sample_305,0.8551449,-0.004348703 
sample_306,0.8171828,-0.00354549 
sample_307,0.9260739,-0.005491777 
sample_308,0.7892108,-0.004052689 
sample_309,1,-0.01904896 
sample_310,0.998002,-0.01029487 
sample_311,0.982018,-0.008025512 
sample_312,0.8641359,-0.006171948 
sample_313,0.991009,-0.008938717 
sample_314,0.987013,-0.007192297 
sample_315,0.7212787,-0.002551809 
sample_316,0.9270729,-0.005800399 
sample_317,0.975025,-0.006353773 
sample_318,1,-0.0133749 
sample_319,0.999001,-0.01339252 
sample_320,0.8671329,-0.007515349 
sample_321,0.967033,-0.01195248 
sample_322,0.1938062,0.004531312 
sample_323,0.8661339,-0.004810858 
sample_324,0.979021,-0.0165213 
sample_325,0.9360639,-0.01143923 
sample_326,0.9390609,-0.008299598 
sample_327,0.9100899,-0.01402688 
sample_328,0.4465534,0.001572841 
sample_329,0.04695305,0.0132986 
sample_330,0.9450549,-0.007771354 
sample_331,0.7802198,-0.004517084 
sample_332,0.04895105,0.009626475 
sample_333,0.4265734,0.0007269405 
sample_334,0.5054945,-0.0008658038 
sample_335,0.8921079,-0.006202233 
sample_336,0.9290709,-0.009649477 
sample_337,0.01098901,0.02549067 
sample_338,0.4165834,0.001365434 
sample_339,0.2117882,0.003645827 
sample_340,0.8601399,-0.01074044 
sample_341,0.991009,-0.01424247 
sample_342,0.7322677,-0.005466051 
sample_343,0.08091908,0.01159506 
sample_344,0.3996004,0.001458379 
sample_345,0.07392607,0.008933615 
sample_346,0.07592408,0.009039932 
sample_347,0.02697303,0.01521244 
sample_348,0.005994006,0.01920032 
sample_349,0.2627373,0.003417144 
sample_350,0.07392607,0.0110473 
sample_351,0.1418581,0.006292364 
sample_352,0.01198801,0.0230719 
sample_353,0.006993007,0.02227862 
sample_354,0.3026973,0.003593463 
sample_355,0.8141858,-0.007108569 
sample_356,0.2787213,0.005087916 
sample_357,0.4175824,0.001255812 
sample_358,0.03296703,0.0118961 
sample_359,0.3376623,0.003471503 
sample_360,0.7772228,-0.005317186 
sample_361,0.5374625,-0.001177199 
sample_362,0.1768232,0.006322069 
sample_363,0.986014,-0.009611916 
sample_364,0.5564436,-0.001174249 
sample_365,0.8211788,-0.008796484 
sample_366,0.3036963,0.003035505 
sample_367,0.2857143,0.003535933 
sample_368,0.5924076,-0.002352166 
sample_369,0.97003,-0.01346514 
sample_370,0.7162837,-0.005173753 
sample_371,0.4055944,0.002588754 
sample_372,0.008991009,0.02572935 
sample_373,0.8641359,-0.008111999 
sample_374,0.3496503,0.001847093 
sample_375,0.6353646,-0.002025793 
sample_376,0.3036963,0.004736188 
sample_377,0.6173826,-0.004118957 
sample_378,0.2617383,0.00352448 
sample_379,0.5054945,-0.0005099728 
sample_380,0.03396603,0.0118709 
sample_381,0.3626374,0.001769685 
sample_382,0.6203796,-0.002030195 
sample_383,0.1458541,0.006383066 
sample_384,0.1808192,0.004801361 
sample_385,0.967033,-0.006820149 
sample_386,0.9010989,-0.005765725 
sample_387,0.5684316,-0.001092394 
sample_388,0.3806194,0.002368037 
sample_389,0.1218781,0.00974114 
sample_390,0.004995005,0.02598234 
sample_391,0.2567433,0.006042703 
sample_392,0.8441558,-0.005631106 
sample_393,0.6823177,-0.003291412 
sample_394,0.6873127,-0.00247814 
sample_395,0.2997003,0.002377338 
sample_396,0.08091908,0.008865009 
sample_397,0.7462537,-0.005569208 
sample_398,1,-0.01135275 
sample_399,0.7412587,-0.004165508 
sample_400,0.4275724,0.0006619709 
sample_401,0.4035964,0.00025462 
sample_402,1,-0.009257963 
sample_403,0.966034,-0.00864983 
sample_404,0.976024,-0.006276612 
sample_405,0.996004,-0.01056317 
sample_406,1,-0.01470303 
sample_407,0.1658342,0.00537747 
sample_408,0.967033,-0.006829999 
sample_409,1,-0.01237326 
sample_410,0.4565435,-8.862578e-05 
sample_411,1,-0.01157021 
sample_412,0.987013,-0.007113347 
sample_413,0.7172827,-0.00301004 
sample_414,0.7622378,-0.004454094 
sample_415,0.961039,-0.01294648 
sample_416,0.4795205,-0.001065804 
sample_417,0.981019,-0.009451625 
sample_418,1,-0.01874762 
sample_419,0.998002,-0.01021337 
sample_420,0.979021,-0.008188614 
sample_421,0.2277722,0.003817803 
sample_422,0.2107892,0.002845414 
sample_423,0.994006,-0.008050499 
sample_424,0.8681319,-0.007414196 
sample_425,0.983017,-0.008786396 
sample_426,0.994006,-0.009710364 
sample_427,0.9490509,-0.005709425 
sample_428,0.8961039,-0.004527345 
sample_429,0.977023,-0.009726319 
sample_430,0.971029,-0.006159542 
sample_431,0.8671329,-0.005857809 
sample_432,1,-0.01856809 
sample_433,1,-0.0111292 
sample_434,0.972028,-0.006701197 
sample_435,0.997003,-0.01053374 
sample_436,0.999001,-0.009864726 
sample_437,0.998002,-0.009281215 
sample_438,0.968032,-0.01617889 
sample_439,0.8581419,-0.00798484 
sample_440,0.995005,-0.01070024 
sample_441,0.9240759,-0.009586431 
sample_442,0.954046,-0.01085498 
sample_443,0.997003,-0.01188437 
sample_444,0.9210789,-0.005829601 
sample_445,0.3286713,0.001820331 
sample_446,1,-0.01185629 
sample_447,0.7852148,-0.004254224 
sample_448,0.993007,-0.006811891 
sample_449,1,-0.0214523 
sample_450,0.8341658,-0.003330515 
sample_451,1,-0.009689205 
sample_452,1,-0.01384825 
sample_453,0.981019,-0.005910364 
sample_454,0.997003,-0.006684134 
sample_455,0.8621379,-0.005202466 
sample_456,0.959041,-0.01730869 
sample_457,0.6073926,-0.001456246 
sample_458,0.953047,-0.0105885 
sample_459,0.995005,-0.01006542 
sample_460,0.7682318,-0.003228527 
sample_461,0.997003,-0.008146721 
sample_462,0.983017,-0.01146222 
sample_463,0.959041,-0.01523849 
sample_464,0.996004,-0.02281527 
sample_465,0.972028,-0.008596331 
sample_466,0.986014,-0.008673288 
sample_467,0.8821179,-0.004529333 
sample_468,1,-0.01559063 
sample_469,0.997003,-0.008528523 
sample_470,0.988012,-0.0109442 
sample_471,0.976024,-0.007828132 
sample_472,0.952048,-0.009428463 
sample_473,0.988012,-0.008132193 
sample_474,0.7102897,-0.005874101 
sample_475,0.9070929,-0.004596574 
sample_476,0.954046,-0.008309924 
