& al.	et al.
abreid	abreed
axle box	axlebox
aesthesis	esthesis
Afrikan	African
absolutisation	absolutization
allow nature to take her course	let nature take its course
Akarnanian	Acarnanian
anchylose	ankylose
alvarezsaur	alvarezsaurid
abiogenetical	abiogenetic
abakweta	abakwetha
arylsulphatase	arylsulfatase
acidimetrical	acidimetric
Ashchenazim	Ashkenazim
all-heal	allheal
Achaian	Achaean
awlung	along
arhinia	arrhinia
anabaptist	Anabaptist
anti-microbial	antimicrobial
anti-heroine	antiheroine
aerogramme	aerogram
algacidal	algicidal
ameboflagellate	amoeboflagellate
alchymistical	alchemistical
academisation	academization
androgogy	andragogy
aaroo	aroo
accusative cognate	cognate accusative
amautik	amauti
abondance	abundance
AS Level	AS-level}}
azaspirane	azaspiran
agrèmens	agrémens
archaical	archaic
all-firedly	all-fired
aquicultural	aquacultural
ang mo	ang moh
ameer	emir
all dogged-up	all dogged up
allnighter	all-nighter
amourist	amorist
amnemonic	amnesic
ambilævous	ambilevous
all-in	all in
antipatriarchical	antipatriarchal
averill	arval
abbacination	abacination
alimentive	alimentative
annualisation	annualization
a'a	aa
antifolk	anti-folk
algaecidal	algicidal
Adelaidian	Adelaidean
as if one's life depended on it	like one's life depended on it
alphonsin	Alphonsin
allrounder	all-rounder
Achilles' heel	Achilles heel
abso-bloody-lutely	absobloodylutely
anomalistical	anomalistic
A1/C	A1C
ambercoloured	ambercolored
axman	axeman
aroogah	aooga
arithmomancy	arithmancy
ajapsandal	ajapsandali
alkalescency	alkalescence
anthropical	anthropic
anonaceous	annonaceous
arseless	assless
A. S. I.	ASI}}
Artukid	Artuqid
autochthone	autochthon
academicalism	academicism
air burst	airburst
anterioventral	anteroventral
as it so happens	as it happens}}
Abrahamman	Abraham man
ad loc	ad loc.
anemony	anemone
atavaquone	atovaquone
alu	aloo
ailourophobia	ailurophobia
advertizement	advertisement
agorah	agora
aneurismal	aneurysmal
A flat	A-flat
anti-migraine	antimigraine
antimarketeer	anti-marketeer
apercu	aperçu
ablism	ableism
archeozoology	archaeozoology
