bichromatizing	bichromatize
bilged	bilge
belks	belk
bynaming	byname
bulldozes	bulldoze
befurring	befur
bulldozed	bulldoze
bastardisation	bastardization
build up	buildup
bewaring	beware
Bor.	borough
boulting	boult
bruises up	bruise up
Baidued	Baidu
brandwashes	brandwash
bustleth	bustle
blunted	blunt
bleeding white	bleed white
brandwashed	brandwash
blighteth	blight
brachygnatism	brachygnathism
boofier	boofy
bockland	bookland
bunkered	bunker
bamfoozling	bamfoozle
betwaddled	betwaddle
betther	better
blackbags	blackbag
banqueted	banquet
bizarrer	bizarre
bedaubing	bedaub
betwaddles	betwaddle
bulkened	bulken
BLOB	binary large object
bepelted	bepelt
brickfilmed	brickfilm
boyles	boyle
bloods	blood
bellowsing	bellows
barnstormed	barnstorm
boyled	boyle
betraying	betray
baroinhibited	baroinhibit
butchiest	butchy
bended	bend
backburning	backburn
bumps off	bump off
broken down	break down
bemiring	bemire
Busanian	Busan
bouned	boun
balkanizing	balkanize
brought up short	bring up short
biomagnified	biomagnify
bepatting	bepat
begodded	begod
bagpacking	backpacking
biomagnifies	biomagnify
bouffing	bouffe
bleedier	bleedy
batteneth	batten
believes	believe
barning	barn
bapping	bap
believed	believe
BAT	best available technology
BAS	Bachelor of Applied Science
belling the cat	bell the cat
blastin'	blasting
bulkiest	bulk
bitch-slapped	bitch-slap
BAC	bureau
betray'd	betray
BAN	British Approved Name
BAO	baryon acoustic oscillation
BAL	broad absorption line trough
bendest	bend
buttered	butter
beblasted	beblast
beshining	beshine
black-sant	black sanctus
binds over	bind over
backpeddling	backpeddle
behowls	behowl
bogs off	bog off
blobs out	blob out
bosonised	bosonise
bit bucketed	bit bucket
baclophen	baclofen
brings home	bring home
befleeing	beflee
broken in	break in
bosonises	bosonise
benzoase	benzonase
brothier	brothy
backfilled	backfill
boldly going where no man has gone before	boldly go where no man has gone before
billingsgating	billingsgate
blustered	bluster
batoned	baton
bucking	buck
britted	brit
babbing	bab
bossed about	boss about
bishopping	bishop
banjoed	banjo
bestirring	bestir
BRBNS	blue rubber bleb nevus syndrome
bossing around	boss around
bobsleighed	bobsleigh
buckin'	bucking
bedares	bedare
breezing	breeze
backflipping	backflip
barkening	barken
